Idx,Type,Region,Name,Longitude,Latitude,Connections,MAC,IP
AESO,Region,AESO,AESO,53.93,-116.57,None,None,None
BCTC,Region,BCTC,BCTC,57.72,-127.64,None,None,None

S_AESO,Switch,AESO,AESO,53.93,-116.57,None,7a:43:4f:ca:0d:23,None
S_BCTC,Switch,BCTC,BCTC,57.72,-127.64,S_AESO,92:53:a7:1e:98:55,None

C_AESO,PDC,AESO,AESO,53.93,-116.57,S_AESO,None,192.168.1.2
C_BCTC,PDC,BCTC,BCTC,57.72,-127.64,S_BCTC,None,192.168.1.3

DEVERS,PMU,AESO,DEVERS,33.937268,-116.577985,S_AESO,None,192.168.1.17

INTF1,HwIntf,AESO,enp4s0f0,53.92,-116.55,S_BCTC,None,None
