Idx,Type,Region,Name,Longitude,Latitude,MAC,IP,PMU_IDX,From,To,Delay,BW,Loss,Jitter,Status
INTF1,HwIntf,AESO,enp4s0f0,53.92,-116.55,None,None,None,None,S_AESO,5ms,10,0,None,1
AESO,Region,AESO,AESO,53.93,-116.57,None,None,None,None,None,None,None,None,None,1
BCTC,Region,BCTC,BCTC,57.72,-127.64,None,None,None,None,None,None,None,None,None,1
BPA,Region,BPA,BPA,45.6373,-121.97,None,None,None,None,None,None,None,None,None,1
VRCC,Region,VRCC,VRCC,45.63,-122.67,None,None,None,None,None,None,None,None,None,1
IPCO,Region,IPCO,IPCO,43.61,-116.21,None,None,None,None,None,None,None,None,None,1
LRCC,Region,LRCC,LRCC,40.015,-105.27,None,None,None,None,None,None,None,None,None,1
WAPA,Region,WAPA,WAPA,39.704,-105.081,None,None,None,None,None,None,None,None,None,1
CAIS,Region,CAIS,CAIS,38.678,-121.176,None,None,None,None,None,None,None,None,None,1
PGE,Region,PGE,PGE,38.581,-121.494,None,None,None,None,None,None,None,None,None,1
SCE,Region,SCE,SCE,34.08,-118.07,None,None,None,None,None,None,None,None,None,1
LADW,Region,LADW,LADW,34.052,-118.243,None,None,None,None,None,None,None,None,None,1
SDGE,Region,SDGE,SDGE,32.715,-117.161,None,None,None,None,None,None,None,None,None,1
APS,Region,APS,APS,33.538,-112.186,None,None,None,None,None,None,None,None,None,1
SRP,Region,SRP,SRP,33.44,-112.074,None,None,None,None,None,None,None,None,None,1
PNM,Region,PNM,PNM,35.084,-106.65,None,None,None,None,None,None,None,None,None,1
S_AESO,Switch,AESO,AESO,53.93,-116.57,7a:43:4f:ca:0d:23,None,None,None,None,None,None,None,None,1
S_BCTC,Switch,BCTC,BCTC,57.72,-127.64,92:53:a7:1e:98:55,None,None,None,None,None,None,None,None,1
S_BPA,Switch,BPA,BPA,45.6373,-121.97,7e:79:01:74:7b:f1,None,None,None,None,None,None,None,None,1
S_VRCC,Switch,VRCC,VRCC,45.63,-122.67,72:a0:ec:58:b4:64,None,None,None,None,None,None,None,None,1
S_IPCO,Switch,IPCO,IPCO,43.61,-116.21,6a:3f:cc:21:bb:01,None,None,None,None,None,None,None,None,1
S_LRCC,Switch,LRCC,LRCC,40.015,-105.27,16:d7:c3:d2:9c:34,None,None,None,None,None,None,None,None,1
S_WAPA,Switch,WAPA,WAPA,39.704,-105.081,b6:5f:39:75:f5:b9,None,None,None,None,None,None,None,None,1
S_CAIS,Switch,CAIS,CAIS,38.678,-121.176,52:31:94:6c:12:6c,None,None,None,None,None,None,None,None,1
S_PGE,Switch,PGE,PGE,38.581,-121.494,be:dd:b5:a9:5e:30,None,None,None,None,None,None,None,None,1
S_SCE,Switch,SCE,SCE,34.08,-118.07,72:5e:30:03:ac:dd,None,None,None,None,None,None,None,None,1
S_LADW,Switch,LADW,LADW,34.052,-118.243,f6:5c:95:75:da:76,None,None,None,None,None,None,None,None,1
S_SDGE,Switch,SDGE,SDGE,32.715,-117.161,aa:a4:86:81:48:1e,None,None,None,None,None,None,None,None,1
S_APS,Switch,APS,APS,33.538,-112.186,f6:e7:cd:a9:96:7f,None,None,None,None,None,None,None,None,1
S_SRP,Switch,SRP,SRP,33.44,-112.074,72:83:f2:39:1c:5b,None,None,None,None,None,None,None,None,1
S_PNM,Switch,PNM,PNM,35.084,-106.65,42:49:42:ac:7d:6e,None,None,None,None,None,None,None,None,1
L_AESO_BCTC,Link,None,L_AESO_BCTC,None,None,None,None,None,S_AESO,S_BCTC,5ms,10,0,None,1
L_BCTC_VRCC,Link,None,L_BCTC_VRCC,None,None,None,None,None,S_BCTC,S_VRCC,5ms,10,0,None,1
L_BPA_VRCC,Link,None,L_BPA_VRCC,None,None,None,None,None,S_BPA,S_VRCC,5ms,10,0,None,1
L_VRCC_LRCC,Link,None,L_VRCC_LRCC,None,None,None,None,None,S_VRCC,S_LRCC,5ms,10,0,None,1
L_VRCC_IPCO,Link,None,L_VRCC_IPCO,None,None,None,None,None,S_VRCC,S_IPCO,5ms,10,0,None,1
L_VRCC_CAIS,Link,None,L_VRCC_CAIS,None,None,None,None,None,S_VRCC,S_CAIS,5ms,10,0,None,1
L_LRCC_WAPA,Link,None,L_LRCC_WAPA,None,None,None,None,None,S_LRCC,S_WAPA,5ms,10,0,None,1
L_CAIS_PGE,Link,None,L_CAIS_PGE,None,None,None,None,None,S_CAIS,S_PGE,5ms,10,0,None,1
L_CAIS_SCE,Link,None,L_CAIS_SCE,None,None,None,None,None,S_CAIS,S_SCE,5ms,10,0,None,1
L_SCE_LAWD,Link,None,L_SCE_LAWD,None,None,None,None,None,S_SCE,S_LADW,5ms,10,0,None,1
L_SCE_SDGE,Link,None,L_SCE_SDGE,None,None,None,None,None,S_SCE,S_SDGE,5ms,10,0,None,1
L_SCE_APS,Link,None,L_SCE_APS,None,None,None,None,None,S_SCE,S_APS,5ms,10,0,None,1
L_APS_SRP,Link,None,L_APS_SRP,None,None,None,None,None,S_APS,S_SRP,5ms,10,0,None,1
L_SRP_PNM,Link,None,L_SRP_PNM,None,None,None,None,None,S_SRP,S_PNM,5ms,10,0,None,1
C_AESO,PDC,AESO,AESO,53.93,-116.57,None,192.168.1.2,None,None,None,None,None,None,None,1
C_BCTC,PDC,BCTC,BCTC,57.72,-127.64,None,192.168.1.3,None,None,None,None,None,None,None,1
C_BPA,PDC,BPA,BPA,45.6373,-121.97,None,192.168.1.4,None,None,None,None,None,None,None,1
C_VRCC,PDC,VRCC,VRCC,45.63,-122.67,None,192.168.1.5,None,None,None,None,None,None,None,1
C_IPCO,PDC,IPCO,IPCO,43.61,-116.21,None,192.168.1.6,None,None,None,None,None,None,None,1
C_LRCC,PDC,LRCC,LRCC,40.015,-105.27,None,192.168.1.7,None,None,None,None,None,None,None,1
C_WAPA,PDC,WAPA,WAPA,39.704,-105.081,None,192.168.1.8,None,None,None,None,None,None,None,1
C_CAIS,PDC,CAIS,CAIS,38.678,-121.176,None,192.168.1.9,None,None,None,None,None,None,None,1
C_PGE,PDC,PGE,PGE,38.581,-121.494,None,192.168.1.10,None,None,None,None,None,None,None,1
C_SCE,PDC,SCE,SCE,34.08,-118.07,None,192.168.1.11,None,None,None,None,None,None,None,1
C_LADW,PDC,LADW,LADW,34.052,-118.243,None,192.168.1.12,None,None,None,None,None,None,None,1
C_SDGE,PDC,SDGE,SDGE,32.715,-117.161,None,192.168.1.13,None,None,None,None,None,None,None,1
C_APS,PDC,APS,APS,33.538,-112.186,None,192.168.1.14,None,None,None,None,None,None,None,1
C_SRP,PDC,SRP,SRP,33.44,-112.074,None,192.168.1.15,None,None,None,None,None,None,None,1
C_PNM,PDC,PNM,PNM,35.084,-106.65,None,192.168.1.16,None,None,None,None,None,None,None,1
L_C_AESO,Link,AESO,L_C_AESO,None,None,None,None,None,C_AESO,S_AESO,5ms,10,0,None,1
L_C_BCTC,Link,BCTC,L_C_BCTC,None,None,None,None,None,C_BCTC,S_BCTC,5ms,10,0,None,1
L_C_BPA,Link,BPA,L_C_BPA,None,None,None,None,None,C_BPA,S_BPA,5ms,10,0,None,1
L_C_VRCC,Link,VRCC,L_C_VRCC,None,None,None,None,None,C_VRCC,S_VRCC,5ms,10,0,None,1
L_C_IPCO,Link,IPCO,L_C_IPCO,None,None,None,None,None,C_IPCO,S_IPCO,5ms,10,0,None,1
L_C_LRCC,Link,LRCC,L_C_LRCC,None,None,None,None,None,C_LRCC,S_LRCC,5ms,10,0,None,1
L_C_WAPA,Link,WAPA,L_C_WAPA,None,None,None,None,None,C_WAPA,S_WAPA,5ms,10,0,None,1
L_C_CAIS,Link,CAIS,L_C_CAIS,None,None,None,None,None,C_CAIS,S_CAIS,5ms,10,0,None,1
L_C_PGE,Link,PGE,L_C_PGE,None,None,None,None,None,C_PGE,S_PGE,5ms,10,0,None,1
L_C_SCE,Link,SCE,L_C_SCE,None,None,None,None,None,C_SCE,S_SCE,5ms,10,0,None,1
L_C_LADW,Link,LADW,L_C_LADW,None,None,None,None,None,C_LADW,S_LADW,5ms,10,0,None,1
L_C_SDGE,Link,SDGE,L_C_SDGE,None,None,None,None,None,C_SDGE,S_SDGE,5ms,10,0,None,1
L_C_APS,Link,APS,L_C_APS,None,None,None,None,None,C_APS,S_APS,5ms,10,0,None,1
L_C_SRP,Link,SRP,L_C_SRP,None,None,None,None,None,C_SRP,S_SRP,5ms,10,0,None,1
L_C_PNM,Link,PNM,L_C_PNM,None,None,None,None,None,C_PNM,S_PNM,5ms,10,0,None,1
CORONADO,PMU,PNM,CORONADO,34.56004,-109.277313,None,192.168.1.133,117,None,None,None,None,None,None,1
S_CORONADO,Link,PNM,S_CORONADO,None,None,None,None,None,CORONADO,S_PNM,5ms,10,0,None,1
